acc_x_g_mean,acc_x_g_std,acc_x_g_var,acc_x_g_min,acc_x_g_max,acc_x_g_rms,acc_x_g_energy,acc_y_g_mean,acc_y_g_std,acc_y_g_var,acc_y_g_min,acc_y_g_max,acc_y_g_rms,acc_y_g_energy,acc_z_g_mean,acc_z_g_std,acc_z_g_var,acc_z_g_min,acc_z_g_max,acc_z_g_rms,acc_z_g_energy,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_var,gyro_x_dps_min,gyro_x_dps_max,gyro_x_dps_rms,gyro_x_dps_energy,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_var,gyro_y_dps_min,gyro_y_dps_max,gyro_y_dps_rms,gyro_y_dps_energy,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_var,gyro_z_dps_min,gyro_z_dps_max,gyro_z_dps_rms,gyro_z_dps_energy,acc_mag_mean,acc_mag_std,acc_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_max,label,label_id,source_file,window_start,window_end
0.9990741,0.0579962,0.003363559,0.8356,1.1506,1.0007559,50.07562,0.011103999,0.028324213,0.00080226106,-0.0508,0.0835,0.030423015,0.046277996,0.031432,0.06568033,0.004313906,-0.122,0.1932,0.072813995,0.26509386,-0.49262604,3.022447,9.135187,-11.3174,5.9575,3.0623302,468.89334,-0.27700803,4.149168,17.215593,-9.9848,10.0457,4.1584044,864.61633,-2.272466,1.2055166,1.4532701,-6.2071,-0.3903,2.5724254,330.8686,1.0022819974437043,0.056308537543237155,1.159141285607583,5.002101467449098,2.8751602893305943,13.411149256122684,backward_motion,0,backward_motion_20260609_091258.csv,0,50
1.0033519,0.05711538,0.0032621666,0.8356,1.1506,1.0049764,50.498875,0.016784001,0.028598584,0.000817879,-0.0508,0.0835,0.03315994,0.05497908,0.024022002,0.06663432,0.0044401325,-0.122,0.1932,0.07083212,0.25085947,0.12478,2.1648545,4.6865954,-4.4242,5.9575,2.1684477,235.10829,-0.38998595,3.5527294,12.621886,-9.9848,10.0457,3.57407,638.6988,-2.201932,1.1749798,1.3805776,-6.2071,-0.4896,2.495813,311.45407,1.0064836925601306,0.055540529440437095,1.159141285607583,4.213712495046014,2.4392314590651485,12.193931373843302,backward_motion,0,backward_motion_20260609_091258.csv,10,60
1.009572,0.048585918,0.0023605914,0.8999,1.1506,1.0107404,51.079807,0.01835,0.029459907,0.0008678861,-0.0508,0.0835,0.03470747,0.060230426,0.02157,0.06209231,0.0038554552,-0.122,0.1717,0.06573218,0.21603599,-0.571404,1.77644,3.155739,-4.4242,3.6216,1.8660766,174.11208,0.175814,2.9275887,8.570776,-6.6871,10.0457,2.932863,430.08426,-1.6695681,1.0695832,1.1440082,-5.0468,0.0295,1.9827925,196.57329,1.0123259540318101,0.04814256322200849,1.159141285607583,3.535898107423849,1.8742510421276128,10.9856435136955,backward_motion,0,backward_motion_20260609_091258.csv,20,70
1.008484,0.039487675,0.0015592766,0.926,1.1357,1.0092568,50.929966,0.01992,0.025408518,0.0006455928,-0.0508,0.0835,0.032286208,0.052119963,0.019469999,0.05234887,0.0027404043,-0.1106,0.1477,0.055852354,0.15597427,-0.539036,1.7286946,2.9883847,-4.4242,3.6216,1.8107854,163.9472,0.360546,2.728083,7.4424367,-6.6871,10.0457,2.751805,378.62152,-1.1210201,0.94911677,0.9008226,-3.3369,0.1669,1.468846,107.87543,1.01054555021149,0.03948203069444745,1.1375584776177443,3.018251597615378,1.9745987500482778,10.9856435136955,backward_motion,0,backward_motion_20260609_091258.csv,30,80
1.006718,0.035582054,0.0012660826,0.926,1.1357,1.0073466,50.737362,0.019731998,0.031876028,0.0010160811,-0.1321,0.0835,0.037489105,0.07027165,0.020769998,0.05168412,0.002671248,-0.1106,0.1477,0.055701353,0.15513204,-0.167126,2.2021968,4.849671,-4.4242,5.1178,2.208529,243.88004,0.33123,2.5455952,6.480055,-6.6871,10.0457,2.5670543,329.4884,-0.65247405,0.83149517,0.6913842,-3.1384,0.5104,1.0569326,55.855324,1.0089578161613522,0.03548821222483753,1.1375584776177443,2.908217452378314,2.0314395684543975,10.9856435136955,backward_motion,0,backward_motion_20260609_091258.csv,40,90
1.009692,0.030167434,0.00091007404,0.9553,1.1206,1.0101426,51.0194,0.014358,0.03132334,0.0009811516,-0.1321,0.0649,0.034457278,0.059365194,0.017347999,0.046470102,0.0021594702,-0.1106,0.1333,0.049602654,0.123021156,0.278518,2.0638568,4.2595053,-3.1189,5.1178,2.082565,216.85388,-0.06449597,1.754949,3.079846,-3.5802,4.4274,1.7561338,154.20029,-0.08026001,1.0374293,1.0762596,-2.0392,2.2662,1.0405294,54.135067,1.0114982702379738,0.03011619341130739,1.127073453684364,2.591270972438575,1.3375722580844909,5.549197828515397,backward_motion,0,backward_motion_20260609_091258.csv,50,100
1.0103079,0.029995447,0.0008997268,0.9541,1.1091,1.0107533,51.0811,0.010576,0.035563752,0.0012647804,-0.1321,0.0806,0.037102997,0.06883162,0.019868,0.048295848,0.002332489,-0.1933,0.1243,0.052222855,0.13636133,-0.40056396,2.2759917,5.1801386,-5.5922,5.1178,2.3109715,267.02948,-0.195182,2.2003202,4.8414097,-6.084,6.4961,2.2089603,243.97528,0.584012,1.0956854,1.2005264,-1.5964,3.7013,1.2416104,77.07983,1.0123221717606972,0.03049034210541406,1.1105010130567194,2.914099316563383,1.8082358134393939,8.798129445512837,backward_motion,0,backward_motion_20260609_091258.csv,60,110
1.014532,0.039639726,0.0015713078,0.925,1.1333,1.015306,51.54232,0.008452,0.034204334,0.0011699364,-0.1321,0.0806,0.03523312,0.06206864,0.009800001,0.055464838,0.0030763482,-0.1933,0.1243,0.056323964,0.15861943,-0.258274,2.2235954,4.944377,-5.5922,5.1178,2.2385447,250.55411,-0.33610004,2.6107464,6.8159966,-6.4581,7.29,2.6322916,346.44797,1.2440159,1.2558374,1.5771277,-0.4132,3.9608,1.767683,156.23517,1.016673072081953,0.04044889248724096,1.1338590256288477,3.3277474456029403,1.997709392399982,8.798129445512837,backward_motion,0,backward_motion_20260609_091258.csv,70,120
1.011776,0.04763149,0.002268759,0.8974,1.1333,1.0128965,51.297974,0.015226001,0.05118444,0.0026198467,-0.1321,0.217,0.05340111,0.14258392,0.010028,0.0786988,0.006193501,-0.1933,0.3475,0.07933512,0.31470308,-0.50224596,2.4531345,6.0178685,-5.5922,5.1178,2.5040207,313.50598,-0.15991598,3.4434216,11.857153,-6.4581,13.061,3.447133,594.13635,2.0249321,1.4849579,2.2051,-0.1232,6.0371,2.5110652,315.27246,1.0163658469987837,0.045887236291205294,1.1338590256288477,4.255434053376353,2.5198367106550577,15.326651625518211,backward_motion,0,backward_motion_20260609_091258.csv,80,130
1.003322,0.053760543,0.0028901962,0.8942,1.1333,1.0047612,50.47726,0.012305999,0.049755435,0.0024756035,-0.0837,0.217,0.05125467,0.13135207,0.02401,0.09074955,0.008235481,-0.1933,0.3475,0.09387205,0.44059807,-1.141942,2.0882924,4.360965,-5.5922,5.8811,2.3801255,283.24985,-0.21563399,3.7829726,14.310882,-6.4581,13.061,3.7891133,717.86896,2.619894,1.3635324,1.8592207,0.2356,6.0371,2.9534836,436.15326,1.009151939675291,0.05095682142361032,1.1338590256288477,4.761750047980615,2.46397596992272,15.326651625518211,backward_motion,0,backward_motion_20260609_091258.csv,90,140
