timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2339197,1.1013,-0.0466,-0.0293,-0.2258,7.9389,-3.0926,backward_motion
2339217,0.9741,0.0142,0.0489,-0.8517,4.6259,-2.4743,backward_motion
2339237,1.0146,-0.0081,0.0765,-0.1342,-0.6565,-2.4361,backward_motion
2339257,0.9262,0.0024,0.1167,3.1254,-4.9543,-1.6117,backward_motion
2339277,1.0371,0.0205,-0.1208,-2.4090,5.1984,-2.8407,backward_motion
2339297,0.9091,0.0085,0.0074,-9.1418,9.4732,-2.5583,backward_motion
2339317,1.0126,-0.0110,0.0025,-11.3174,0.2137,-0.3980,backward_motion
2339337,0.9675,0.0017,0.1311,-4.4013,-4.6947,-0.3903,backward_motion
2339357,1.0073,-0.0083,0.1285,2.4994,-5.0382,-0.5048,backward_motion
2339377,1.0146,-0.0188,-0.0158,3.6903,-2.9543,-1.5735,backward_motion
2339397,1.0153,0.0117,-0.0219,2.0796,1.5801,-3.9018,backward_motion
2339417,1.0402,-0.0242,-0.0122,3.6903,-3.4504,-4.6651,backward_motion
2339437,0.9392,-0.0049,0.0450,5.9575,-8.6413,-6.2071,backward_motion
2339457,0.9599,-0.0178,-0.0280,4.6368,-9.9848,-3.9705,backward_motion
2339477,1.0664,0.0015,0.0159,0.8735,-4.0535,-2.7491,backward_motion
2339497,0.9704,0.0349,0.0393,-2.3479,2.3282,-0.8407,backward_motion
2339517,0.9313,0.0295,0.0992,0.1636,0.2518,-1.8560,backward_motion
2339537,0.9418,0.0288,0.0757,0.7055,-2.0535,-2.2682,backward_motion
2339557,0.8356,0.0479,0.1932,1.6674,-4.8932,-2.1766,backward_motion
2339577,0.9999,0.0027,0.0452,1.9956,-0.5191,-2.5506,backward_motion
2339597,0.9963,0.0120,0.0010,1.0109,-2.8550,-3.0621,backward_motion
2339617,1.0410,0.0442,-0.0400,-2.5311,-2.1909,-2.1155,backward_motion
2339637,1.0253,-0.0215,0.0865,-2.6532,-1.9543,-3.1919,backward_motion
2339657,1.1506,0.0696,-0.1220,-2.1494,1.5648,-5.0468,backward_motion
2339677,0.8999,0.0801,0.1717,0.2933,-0.3283,-2.1079,backward_motion
2339697,1.0017,-0.0063,0.0362,-0.7219,-1.3588,-2.7338,backward_motion
2339717,1.0356,-0.0200,0.0103,-0.6609,0.4351,-2.3980,backward_motion
2339737,0.9633,-0.0085,0.0545,-1.7296,-5.2367,-2.9171,backward_motion
2339757,1.0153,-0.0242,0.0662,-2.3861,2.7175,-1.9781,backward_motion
2339777,0.9372,-0.0002,0.0906,-0.4700,-0.7940,-3.0850,backward_motion
2339797,0.9421,0.0264,-0.0029,2.4994,-4.0993,-2.2148,backward_motion
2339817,0.9997,-0.0508,0.0696,2.5681,-1.3970,-3.3369,backward_motion
2339837,1.0544,0.0259,0.0083,1.5529,-2.0993,-3.2758,backward_motion
2339857,1.0285,0.0083,0.0559,2.6750,-1.9772,-2.5735,backward_motion
2339877,0.9975,0.0068,0.0276,0.4918,2.4885,-1.0621,backward_motion
2339897,1.0322,-0.0134,0.0953,-0.1800,1.9618,-2.5964,backward_motion
2339917,1.0852,-0.0159,-0.0527,-0.3326,4.5267,-2.0926,backward_motion
2339937,0.9746,0.0210,0.0555,0.6292,1.8854,-1.7796,backward_motion
2339957,0.9746,0.0288,-0.0080,-0.0349,0.8396,-1.3445,backward_motion
2339977,1.0598,0.0166,-0.0178,-1.0807,-1.6413,-1.4361,backward_motion
2339997,0.9602,0.0537,0.0948,-1.6609,-6.6871,-0.5659,backward_motion
