timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2392900,1.0002,0.063,0.0987,4.9193,6.2442,12.5257,circular_motion
2392920,1.0292,0.0745,0.0572,7.3849,4.6259,13.5486,circular_motion
2392940,1.0717,0.0786,0.0718,8.0796,1.8625,10.2585,circular_motion
2392960,1.069,0.0938,0.1311,9.8735,-0.1069,5.1364,circular_motion
2392980,0.9946,0.0935,0.1656,13.2094,-0.9237,0.4723,circular_motion
2393000,0.9157,0.062,0.1656,20.6826,0.2595,5.9684,circular_motion
2393020,0.9831,0.0437,0.0784,26.53,1.1602,17.6249,circular_motion
2393040,1.1262,0.0425,0.0015,26.7437,1.4732,16.0295,circular_motion
2393060,1.1689,0.0642,-0.0024,23.9498,3.2747,1.6936,circular_motion
2393080,1.0314,0.074,0.0684,23.5376,4.6412,-8.8178,circular_motion
2393100,0.9138,0.051,0.1114,28.8888,1.3282,-5.3293,circular_motion
2393120,0.9311,0.0381,0.0821,34.7132,0.1908,4.1516,circular_motion
2393140,1.0368,0.0432,-0.0285,36.4002,5.519,8.4036,circular_motion
2393160,1.0732,0.053,-0.09,32.7666,6.3053,5.5181,circular_motion
2393180,1.0646,0.0569,-0.0715,29.3773,1.0839,1.2814,circular_motion
2393200,1.0778,0.0496,-0.0366,28.362,-2.7787,-1.0163,circular_motion
2393220,1.0256,0.0352,0.0047,31.2552,-9.0306,-3.8484,circular_motion
2393240,1.0009,0.0347,-0.0481,33.5452,-13.9237,-0.5888,circular_motion
2393260,1.0236,0.0347,-0.1171,32.2094,-11.6642,2.9455,circular_motion
2393280,1.0551,0.0317,-0.0983,30.0949,-7.8092,4.1135,circular_motion
2393300,1.1247,0.0217,-0.1088,29.4765,-3.4046,4.4799,circular_motion
2393320,1.1826,0.0078,-0.0754,31.5529,-1.3588,-1.5048,circular_motion
2393340,1.1379,0.009,-0.0988,33.4842,-1.0611,-10.6804,circular_motion
2393360,1.0463,0.0239,-0.1132,31.8964,-2.3588,-13.5048,circular_motion
2393380,0.9694,0.019,-0.0891,29.9422,-7.8016,-11.5583,circular_motion
2393400,0.9738,0.0103,-0.0866,30.5987,-12.7711,-5.9018,circular_motion
2393420,1.0131,0.0012,-0.1171,30.0185,-10.939,-4.7109,circular_motion
2393440,1.0227,-0.0034,-0.0879,30.0185,-9.7634,-4.8178,circular_motion
2393460,1.009,-0.0151,-0.1032,29.2017,-9.9695,-6.2148,circular_motion
2393480,0.9948,-0.0085,-0.1037,28.7361,-9.6947,-6.6651,circular_motion
2393500,1.0197,-0.0102,-0.1943,25.7132,-6.9924,-7.7567,circular_motion
2393520,1.0017,-0.012,-0.1818,21.2933,-5.397,-8.4056,circular_motion
2393540,1.0031,-0.0154,-0.1696,18.759,-8.2672,-6.5201,circular_motion
2393560,1.0388,-0.0076,-0.1977,15.2323,-10.1146,-7.3369,circular_motion
2393580,1.0358,-0.0115,-0.1501,12.362,-10.8932,-10.9094,circular_motion
2393600,1.0104,0.0049,-0.156,11.7361,-10.5878,-13.5201,circular_motion
2393620,0.9528,0.002,-0.1757,10.446,-7.5268,-13.8331,circular_motion
2393640,0.9143,0.0073,-0.1672,9.2475,-8.481,-10.0697,circular_motion
2393660,0.9265,0.0132,-0.1782,8.6979,-11.855,-6.1461,circular_motion
2393680,0.9538,0.0122,-0.2058,6.0185,-11.8932,-5.2835,circular_motion
2393700,0.9846,0.0068,-0.1679,4.4613,-9.0153,-6.2148,circular_motion
2393720,0.9711,0.0034,-0.1777,2.5071,-3.7863,-8.2071,circular_motion
2393740,0.9492,0.0007,-0.1879,-0.7219,3.5419,-6.7033,circular_motion
2393760,0.9208,0.0007,-0.1069,-2.7067,0.6412,-4.3598,circular_motion
2393780,0.9455,-0.0142,-0.0842,-0.6914,-5.4581,-1.1995,circular_motion
2393800,0.9504,-0.0056,-0.113,-0.3174,-5.2062,2.1822,circular_motion
2393820,1.0239,-0.0083,-0.1645,-1.4548,-2.2291,1.9837,circular_motion
2393840,1.0156,0.001,-0.1777,-4.8975,1.145,-3.3522,circular_motion
2393860,0.9738,-0.03,-0.1396,-6.4166,1.5954,-7.2453,circular_motion
2393880,0.9211,-0.0393,-0.1345,-8.6227,-1.5726,-8.0621,circular_motion
2393900,0.9003,-0.0464,-0.1342,-11.9051,-5.7863,-3.5506,circular_motion
2393920,0.9404,-0.0342,-0.1577,-16.0578,-5.9161,-1.3751,circular_motion
2393940,0.9685,-0.0366,-0.1018,-17.8517,-5.5497,-0.8713,circular_motion
2393960,1.0039,-0.031,-0.1211,-16.1952,-4.7024,-2.6041,circular_motion
2393980,0.9912,-0.0293,-0.1696,-16.2716,-1.3817,-6.5506,circular_motion
2394000,0.9416,-0.0395,-0.1565,-18.8593,5.3969,-5.4056,circular_motion
2394020,0.9182,-0.0574,-0.1171,-20.8517,7.2518,0.2738,circular_motion
2394040,0.9445,-0.0486,-0.049,-22.4395,2.1908,7.0219,circular_motion
2394060,1.0581,-0.0498,-0.0656,-21.9586,-5.6947,8.541,circular_motion
2394080,1.1047,-0.0598,-0.0947,-22.9586,-7.3741,0.6784,circular_motion
2394100,1.0783,-0.0561,-0.0732,-23.5158,-3.1069,-5.1232,circular_motion
2394120,1.0209,-0.041,-0.093,-23.1876,1.374,-8.6804,circular_motion
2394140,0.9729,-0.0425,-0.1096,-23.8135,4.0152,-7.9934,circular_motion
2394160,0.9189,-0.0415,-0.0983,-25.1876,0.2595,-6.5125,circular_motion
2394180,0.8842,-0.051,-0.0661,-26.3174,-5.939,-1.0774,circular_motion
2394200,0.9138,-0.0432,-0.0588,-26.7372,-10.8245,3.6402,circular_motion
2394220,0.9665,-0.0427,-0.0717,-27.1494,-8.9848,6.5486,circular_motion
2394240,1.0183,-0.0469,-0.04,-27.0044,-4.9314,3.3807,circular_motion
2394260,0.9826,-0.0366,-0.0297,-25.3632,-1.0688,-1.3827,circular_motion
2394280,0.9101,-0.03,-0.0463,-24.18,0.5877,-1.5506,circular_motion
2394300,0.8579,-0.0229,-0.0651,-23.409,-0.3588,3.2585,circular_motion
2394320,0.9172,-0.0273,-0.0827,-24.0884,-2.023,8.7547,circular_motion
2394340,0.9501,-0.0022,-0.0595,-24.8364,-3.4733,6.5715,circular_motion
2394360,0.9509,-0.0046,-0.0068,-23.1418,-1.5649,3.8692,circular_motion
2394380,0.8974,0.0098,-0.0263,-19.699,0.9312,4.0982,circular_motion
2394400,0.854,0.0154,-0.0754,-21.5006,6.3969,8.144,circular_motion
2394420,0.8635,0.0188,-0.0305,-20.9967,3.0839,16.1745,circular_motion
2394440,0.9772,0.0239,-0.0756,-20.0044,-0.3741,18.2967,circular_motion
2394460,1.0236,0.0349,-0.0586,-19.5998,-0.1451,15.8768,circular_motion
2394480,1.04,0.0295,-0.0778,-20.0578,2.7251,11.7394,circular_motion
2394500,1.0175,0.0349,-0.03,-20.867,5.7633,6.3349,circular_motion
2394520,0.9396,0.0293,0.0179,-19.6838,6.6106,4.8158,circular_motion
2394540,0.9191,0.0483,0.0125,-17.1418,7.0457,9.999,circular_motion
2394560,0.9653,0.0488,0.011,-14.1418,5.3511,14.8997,circular_motion
2394580,1.0407,0.051,0.0052,-13.409,5.0076,14.373,circular_motion
2394600,1.0559,0.0439,0.0389,-13.1265,4.206,7.228,circular_motion
2394620,0.9636,0.0588,0.0877,-12.4319,3.8931,1.4112,circular_motion
2394640,0.8598,0.0713,0.1477,-5.3479,2.6564,6.7929,circular_motion
2394660,0.8964,0.0627,0.0982,3.1101,2.8778,18.2814,circular_motion
2394680,1.0061,0.0498,0.0096,5.4613,5.7404,20.9532,circular_motion
2394700,1.0415,0.0537,0.011,5.1865,5.748,16.2585,circular_motion
2394720,1.0295,0.0562,0.0174,6.5147,3.6259,12.1593,circular_motion
2394740,0.9794,0.0537,0.137,8.8277,5.8549,8.3578,circular_motion
2394760,0.9887,0.093,0.0315,10.3086,9.7786,8.1975,circular_motion
2394780,0.9931,0.0764,0.0308,12.5147,7.5114,10.1898,circular_motion
2394800,1.0532,0.0671,0.0061,13.8048,3.916,8.77,circular_motion
2394820,1.0356,0.0615,0.0469,15.9269,3.6793,2.8616,circular_motion
2394840,0.9765,0.0571,0.0945,21.1178,7.1908,3.541,circular_motion
2394860,0.998,0.0579,0.0208,26.0872,12.8854,6.3196,circular_motion
2394880,1.0036,0.0532,-0.0075,27.4002,15.6183,7.9608,circular_motion
2394900,1.0117,0.0525,0.0218,28.53,11.8167,8.3578,circular_motion
2394920,1.0646,0.0291,-0.0127,30.988,7.7862,7.1287,circular_motion
2394940,1.0825,0.0339,-0.0351,32.133,7.0381,7.6631,circular_motion
2394960,1.1518,0.0247,-0.0654,32.3468,8.2366,3.8387,circular_motion
2394980,1.163,0.0383,-0.0957,30.6445,11.2595,-2.9094,circular_motion
2395000,1.111,0.0396,-0.0766,29.4384,11.5114,-9.3064,circular_motion
2395020,1.0859,0.0479,-0.0942,30.301,11.7786,-9.94,circular_motion
2395040,1.0971,0.0606,-0.1379,28.4384,14.1984,-11.9247,circular_motion
2395060,1.0515,0.0422,-0.1001,24.1559,13.5114,-13.8331,circular_motion
2395080,1.0119,0.0344,-0.0261,23.5834,5.1755,-14.3064,circular_motion
2395100,0.9885,0.022,0.0091,25.8735,1.2671,-10.6041,circular_motion
2395120,1.0283,0.0273,-0.0439,27.2704,3.1602,-9.169,circular_motion
2395140,1.0244,0.0437,-0.0442,29.446,2.4503,-9.9781,circular_motion
2395160,1.0007,0.0444,-0.1228,27.9727,3.4809,-10.0468,circular_motion
2395180,0.9636,0.0479,-0.1169,24.4842,3.1373,-6.0163,circular_motion
2395200,1.0061,0.0413,-0.1069,23.0872,-0.4581,-1.4667,circular_motion
2395220,1.0871,0.0464,-0.0717,21.9422,-3.5191,-1.8484,circular_motion
2395240,1.1225,0.0332,-0.0698,22.1407,-7.3741,-9.4514,circular_motion
2395260,1.0666,0.0317,-0.0883,19.7666,-6.4962,-13.5048,circular_motion
2395280,1.0236,0.0381,-0.0559,18.4613,-4.939,-12.4514,circular_motion
2395300,1.0046,0.0259,-0.0546,20.2552,-5.9008,-10.4132,circular_motion
2395320,0.9992,0.0305,-0.083,21.1483,-5.8169,-9.1232,circular_motion
2395340,0.9912,0.0298,-0.1247,20.7819,-9.5115,-8.627,circular_motion
2395360,0.999,0.0261,-0.1499,18.6063,-13.2367,-9.8025,circular_motion
2395380,1.0112,0.0195,-0.1914,14.1483,-11.1527,-11.1155,circular_motion
2395400,0.968,0.0181,-0.1425,11.8735,-9.4733,-13.0316,circular_motion
2395420,0.927,0.0127,-0.1911,10.3162,-7.7634,-11.9323,circular_motion
2395440,0.9113,0.0107,-0.1638,7.591,-7.2901,-8.5583,circular_motion
2395460,0.9489,-0.0137,-0.1696,6.3239,-10.313,-4.6957,circular_motion
2395480,0.9714,0.0085,-0.1931,4.0338,-11.9237,-1.8178,circular_motion
2395500,1.0319,0.0347,-0.1833,2.8658,-13.1298,-1.0392,circular_motion
2395520,1.0979,0.052,-0.2292,2.446,-9.8932,-3.2758,circular_motion
2395540,1.0515,0.0447,-0.1648,-2.9815,-5.5955,-6.8331,circular_motion
2395560,1.1044,0.0239,-0.1845,-2.5998,5.206,-6.4132,circular_motion
2395580,1.0671,-0.0146,-0.1753,-1.6685,14.1908,-3.8026,circular_motion
2395600,1.0549,-0.0288,-0.2063,-3.8899,9.6412,-2.5048,circular_motion
2395620,1.0187,-0.0225,-0.2832,-12.7601,-6.023,-2.1537,circular_motion
2395640,1.0825,-0.0642,-0.2832,-19.5235,-26.0993,-0.5354,circular_motion
2395660,1.1384,-0.0894,-0.1618,-20.8059,-30.2596,-1.856,circular_motion
2395680,1.1481,-0.1016,-0.1269,-17.7296,-15.9543,-7.7491,circular_motion
2395700,1.0437,-0.0664,-0.3186,-19.6609,4.7251,-11.085,circular_motion
2395720,0.9858,-0.0801,-0.25,-25.7677,8.3816,-7.7567,circular_motion
2395740,0.9938,-0.1079,-0.1435,-28.2105,1.3129,-10.4514,circular_motion
2395760,0.9953,-0.1194,-0.0429,-26.1036,-2.0077,-14.8484,circular_motion
2395780,0.9602,-0.0952,-0.0129,-19.8899,-1.2138,-15.3293,circular_motion
2395800,0.9226,-0.0864,-0.1433,-20.9357,0.6793,-14.0926,circular_motion
2395820,0.9423,-0.0898,-0.1748,-28.6914,1.5954,-10.94,circular_motion
2395840,0.9121,-0.0913,-0.0629,-36.4471,-0.2825,-12.3445,circular_motion
