timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2455504,0.4465,0.0361,0.0840,3.4155,-3.9085,-5.0392,fall_detection
2455544,0.9211,-0.0288,0.0926,17.7513,26.1984,38.4112,fall_detection
2455564,1.2263,-0.0059,-0.0588,15.8277,66.7938,24.1822,fall_detection
2455584,0.9162,0.0325,0.0430,6.9651,58.4809,-13.8407,fall_detection
2455604,0.4228,0.0374,0.1690,5.0872,7.3053,-24.5125,fall_detection
2455624,0.4472,0.0701,0.2308,16.2628,-28.0230,13.7776,fall_detection
2455644,1.1345,0.0320,-0.1208,23.5147,29.1908,74.5639,fall_detection
2455664,1.4711,-0.0439,-0.3986,5.5147,57.6564,40.0142,fall_detection
2455684,0.9230,-0.0332,-0.1091,-18.8746,-3.6795,-24.9705,fall_detection
2455704,0.5905,-0.0649,0.2579,-13.7067,-60.0306,-26.2453,fall_detection
2455724,0.8488,0.2190,-0.0261,1.6597,-9.0153,22.6707,fall_detection
2455744,1.3991,-0.0146,-0.5017,-4.2792,96.7328,63.6173,fall_detection
2455764,1.1198,-0.0586,-0.2143,-29.5693,72.3740,8.8310,fall_detection
2455784,0.7724,0.0012,0.3394,-22.4853,-13.6489,-2.8713,fall_detection
2455804,0.9689,0.1140,0.3069,2.1178,-15.8932,46.3272,fall_detection
2455824,1.3647,0.0679,-0.1692,11.1101,39.3435,88.3120,fall_detection
2455844,1.4660,0.0012,-0.2934,0.6597,50.5114,92.3425,fall_detection
2455864,1.9577,-0.2012,0.1148,-5.7525,25.9618,85.9455,fall_detection
2455884,1.9577,-0.1584,-0.3000,-12.7143,27.0992,35.6097,fall_detection
2455904,1.7202,-0.0120,-0.0886,-12.4853,5.0915,-13.1461,fall_detection
2455924,1.2438,0.0464,-0.0195,-14.2334,-7.7176,-13.8865,fall_detection
2455944,1.4226,-0.0066,-0.0437,-15.4319,23.5343,6.4494,fall_detection
2455964,1.3430,-0.0259,0.0469,-17.1571,37.7557,-7.8789,fall_detection
2455984,1.0192,-0.0300,0.1514,-18.6380,15.7099,-21.9552,fall_detection
2456004,0.9013,0.0232,0.1756,-12.2258,-7.3817,-8.5812,fall_detection
2456024,0.9497,-0.0469,0.1788,-9.3555,-10.1298,4.1058,fall_detection
2456044,0.8083,-0.0005,0.1236,-6.5464,-18.5955,9.5868,fall_detection
2456064,0.3459,0.0283,0.4612,11.4155,-91.3436,37.2127,fall_detection
2456084,0.5212,0.1443,0.3296,-4.4242,-80.1298,-37.8636,fall_detection
2456104,0.7260,0.0376,0.2371,2.4765,-36.9390,8.5028,fall_detection
2456124,1.0114,0.0459,-0.1228,2.4918,-43.9161,-29.6117,fall_detection
2456144,0.9926,0.0596,-0.1389,2.9651,6.3816,-1.0163,fall_detection
2456164,0.9038,-0.0706,-0.0805,-3.7372,-0.5649,-3.5659,fall_detection
2456184,1.0656,0.0022,-0.0554,-4.2334,0.4809,-2.3751,fall_detection
2456204,0.9941,0.0205,-0.0319,-5.9204,-0.1069,-0.2529,fall_detection
2456224,1.0058,-0.0029,-0.0361,-2.9204,0.4656,-0.4972,fall_detection
2456244,0.9836,-0.0288,-0.0319,0.0567,2.2366,-0.7262,fall_detection
2456264,0.9968,-0.0215,-0.0241,2.0338,1.6259,-1.0316,fall_detection
2456284,1.0100,0.0046,-0.0261,0.7132,2.1984,-0.6651,fall_detection
2456304,0.9960,-0.0134,-0.0207,-0.5998,1.2747,-0.5506,fall_detection
2456324,1.0151,-0.0029,-0.0127,-0.4471,-0.0230,-0.1384,fall_detection
2456344,0.9960,-0.0051,-0.0119,0.3849,-0.7711,0.1822,fall_detection
2456364,0.9868,-0.0161,-0.0341,-0.0425,-0.3054,-0.1308,fall_detection
2456384,0.9951,-0.0232,-0.0322,-1.5235,-0.0153,-0.1155,fall_detection
2456404,0.9999,-0.0115,-0.0317,-1.7525,0.6488,-0.1461,fall_detection
2456424,0.9936,-0.0124,-0.0349,-1.9280,0.4885,0.2051,fall_detection
