timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2299394,0.9968,0.0481,0.0159,2.7590,1.8549,-1.0316,forward_motion
2299414,0.9484,0.0952,0.1053,2.5605,-0.3894,-0.8407,forward_motion
2299434,1.0131,0.0745,0.0467,1.5987,2.5343,-1.3674,forward_motion
2299454,0.9470,0.0566,0.0376,-0.6303,1.2366,-0.5812,forward_motion
2299474,1.0456,0.0085,0.0267,-3.0273,-0.1756,-0.8331,forward_motion
2299494,1.0346,0.0623,0.0503,-1.7296,-1.9695,-0.2835,forward_motion
2299514,1.0007,0.0503,0.0865,3.1559,-1.8550,-1.5125,forward_motion
2299534,1.0256,0.0693,-0.0117,3.7437,-0.2749,-1.8865,forward_motion
2299554,1.0114,0.0884,-0.0061,1.2704,1.6030,-2.3445,forward_motion
2299574,0.9858,0.0396,0.0489,-2.3479,0.7709,-1.4590,forward_motion
2299594,0.9692,0.0408,0.1294,-1.1342,-1.4810,-2.0316,forward_motion
2299614,1.0375,0.0530,0.0357,0.9269,0.8549,-1.0468,forward_motion
2299634,1.0344,0.0564,0.0310,1.5681,-0.8779,-2.1079,forward_motion
2299654,1.0473,0.0247,0.0064,1.4765,-1.3207,-0.7338,forward_motion
2299674,0.9916,0.0244,0.0559,-0.7067,-1.7634,1.2585,forward_motion
2299694,1.0187,0.0288,0.0122,-2.3555,-0.5191,0.3807,forward_motion
2299714,0.9670,0.0588,0.0225,-0.5769,-2.1069,-0.4361,forward_motion
2299734,1.0043,0.0723,-0.0053,1.3315,-0.2520,-0.8789,forward_motion
2299754,0.9995,0.0369,-0.0085,-1.5540,-0.4352,0.3883,forward_motion
2299774,0.9497,0.0928,-0.0400,-4.1952,-0.3207,0.3425,forward_motion
2299794,0.9746,0.0481,0.0774,-4.6456,-1.2825,-0.6499,forward_motion
2299814,0.9797,0.0730,-0.0488,-7.8975,3.6946,1.9990,forward_motion
