timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2568128,1.0141,0.0466,-0.2321,-14.3632,0.3816,0.8692,gesture_recognition
2568148,1.1027,0.0154,-0.1755,-23.5082,3.4961,1.0371,gesture_recognition
2568168,0.4753,0.1370,0.8475,-23.7677,-26.6413,1.5104,gesture_recognition
2568188,1.1213,0.0310,0.0481,-10.9586,-5.3054,1.9303,gesture_recognition
2568208,1.0996,0.0794,-0.2661,-18.5006,-6.3054,0.0448,gesture_recognition
2568228,0.9313,-0.0041,-0.1767,-28.4395,-0.9390,0.9990,gesture_recognition
2568248,1.0515,-0.0610,0.0454,-26.1265,-2.7176,3.7471,gesture_recognition
2568268,1.0603,0.0244,0.2229,-17.2868,-0.9619,3.0753,gesture_recognition
2568288,1.0947,0.0518,-0.1833,-6.6914,-4.0993,0.6173,gesture_recognition
2568308,0.8186,-0.0386,-0.2185,-12.3861,-9.1069,-4.0087,gesture_recognition
2568328,1.1955,-0.0290,-0.2673,-30.6838,7.5725,4.9150,gesture_recognition
2568348,1.0334,-0.0715,0.2488,-27.3326,-8.4123,4.4112,gesture_recognition
2568368,0.8447,0.0205,0.3123,-15.8593,-13.9314,6.1745,gesture_recognition
2568388,0.9919,0.0581,0.0906,-0.1571,-15.9848,-1.7415,gesture_recognition
2568408,0.8952,0.0901,0.0186,16.4994,1.0381,-2.8407,gesture_recognition
2568428,1.0275,0.0581,-0.3615,14.7361,-3.8321,-5.8025,gesture_recognition
2568448,1.0068,-0.0056,-0.5883,-42.2792,18.2747,-4.3522,gesture_recognition
2568468,1.0927,-0.0347,0.1426,-56.0120,-0.9466,6.0295,gesture_recognition
2568488,0.8564,0.0547,0.3382,-37.1036,-10.0077,11.9226,gesture_recognition
2568508,0.9992,0.0332,0.3653,-3.9815,-13.8016,0.1440,gesture_recognition
2568528,1.1154,-0.0120,0.1311,4.5758,-3.0840,-1.3751,gesture_recognition
2568548,0.8388,0.1729,-0.3784,-5.5082,1.2442,-8.7262,gesture_recognition
2568568,1.3234,-0.0720,-0.2131,-19.9128,10.2518,-10.0239,gesture_recognition
2568588,0.6777,0.1499,-0.1635,-27.4929,1.0457,3.1364,gesture_recognition
2568608,1.0473,0.0811,0.3465,-16.3097,-1.3359,-5.9781,gesture_recognition
2568628,1.0725,0.0242,0.2862,6.0796,-6.2978,-1.1155,gesture_recognition
2568648,1.0612,0.0833,-0.0529,12.7819,-5.1146,1.4875,gesture_recognition
2568668,0.7387,0.0803,-0.2221,0.3391,1.3816,-5.3140,gesture_recognition
2568688,1.0944,-0.0244,0.2708,-8.3174,-5.2825,6.9379,gesture_recognition
2568708,0.7954,0.1423,0.1272,2.0185,2.4122,1.0982,gesture_recognition
2568728,1.0935,0.0354,0.0718,12.6903,-0.0840,-7.9781,gesture_recognition
2568748,1.1464,0.0022,-0.0151,11.6445,-3.0306,-1.3445,gesture_recognition
2568768,0.9257,0.0486,0.0638,10.8888,-4.3588,-1.9171,gesture_recognition
2568788,1.0236,0.0469,0.0694,1.2704,3.1221,-1.6346,gesture_recognition
2568808,0.9460,-0.0486,0.2361,8.6903,12.6641,3.3883,gesture_recognition
2568828,1.0563,0.0254,-0.0324,6.1941,-6.5573,-0.7262,gesture_recognition
2568848,1.0166,0.0339,-0.0070,6.9498,0.0152,0.4723,gesture_recognition
2568868,1.0356,0.1196,-0.1467,34.5452,-22.0764,-5.6651,gesture_recognition
2568888,0.9711,0.0193,-0.0490,12.3697,4.5343,-2.8789,gesture_recognition
2568908,0.9643,0.0598,-0.0927,3.9346,1.9083,-2.4743,gesture_recognition
2568928,1.0153,0.0178,-0.0161,-1.2868,3.6030,1.1822,gesture_recognition
2568948,0.9790,0.0403,-0.0061,-2.6532,1.0915,1.2509,gesture_recognition
2568968,1.0273,0.0320,-0.0036,0.3086,-0.1909,-0.9476,gesture_recognition
2568988,0.9831,0.0208,0.0618,1.5681,2.2442,-1.5201,gesture_recognition
2569008,0.9863,0.0354,-0.0127,3.5300,-1.2062,-0.4514,gesture_recognition
2569028,0.9973,0.0459,-0.0307,-0.1036,1.3358,0.3959,gesture_recognition
2569048,1.0004,0.0391,-0.0131,-0.0120,1.4351,0.2814,gesture_recognition
2569068,1.0087,0.0471,-0.0097,0.1788,2.7251,0.1364,gesture_recognition
2569088,0.9799,0.0378,-0.0070,-0.1952,1.4809,0.0142,gesture_recognition
2569108,0.9938,0.0386,-0.0190,-0.4700,-0.7176,0.0600,gesture_recognition
2569128,1.0078,0.0176,-0.0315,-3.2945,1.5877,0.9990,gesture_recognition
2569148,0.9963,0.0169,0.0098,-1.5082,0.6335,0.2356,gesture_recognition
2569168,1.0007,-0.0171,0.0047,-1.7296,0.4122,0.5333,gesture_recognition
2569188,0.9873,0.0085,0.0000,-4.3097,1.4580,1.3501,gesture_recognition
2569208,0.9895,-0.0100,0.0342,-5.6227,2.8091,1.8921,gesture_recognition
2569228,1.0012,-0.0081,0.0779,-3.2945,-0.2062,-0.1384,gesture_recognition
2569248,1.0004,-0.0203,0.1036,-3.5616,0.3816,-0.7720,gesture_recognition
2569268,0.9938,-0.0325,0.0630,-0.1647,-3.3207,1.4799,gesture_recognition
2569288,1.0583,-0.1057,0.0530,-1.8059,1.1908,1.8081,gesture_recognition
2569308,1.0979,-0.0933,0.0267,-0.1265,1.0228,-2.3598,gesture_recognition
2569328,0.9873,0.0059,0.0108,0.8506,3.2900,1.4494,gesture_recognition
2569348,1.0942,-0.0146,-0.0039,6.1254,1.2976,-0.8102,gesture_recognition
2569368,0.9777,-0.0271,0.1077,6.9117,8.6488,-1.2377,gesture_recognition
2569388,1.0014,-0.0349,0.1368,10.5605,4.1908,-7.7796,gesture_recognition
2569408,1.0527,-0.0383,0.0413,7.4155,2.9541,-1.4819,gesture_recognition
2569428,1.1574,-0.1165,0.1253,-3.2868,16.6870,-11.9094,gesture_recognition
2569448,1.1821,0.0652,0.1123,16.4002,-2.5115,-0.3751,gesture_recognition
2569468,0.9309,-0.0505,0.2449,19.1254,6.5648,1.9379,gesture_recognition
2569488,1.3681,-0.0403,-0.1425,19.3086,12.7328,-5.9476,gesture_recognition
2569508,0.9562,0.0095,0.0984,18.1559,5.4122,5.3043,gesture_recognition
2569528,0.7829,-0.0256,0.1704,11.0872,8.9847,4.2127,gesture_recognition
2569548,0.8803,-0.0642,0.1763,6.3010,8.1755,1.3654,gesture_recognition
2569568,0.9370,-0.0173,0.1578,18.0720,4.8473,0.5639,gesture_recognition
2569588,0.8190,0.0527,0.3035,15.3086,8.0763,-4.6499,gesture_recognition
2569608,1.0075,0.0361,0.0975,18.7895,1.4885,1.3807,gesture_recognition
2569628,0.8081,0.0225,0.3142,10.8429,-0.4962,5.5410,gesture_recognition
2569648,1.1203,0.0186,0.0899,11.1636,-2.3130,1.1822,gesture_recognition
2569668,1.1015,-0.0415,0.0240,10.0567,5.9618,2.1440,gesture_recognition
2569688,1.1162,0.0503,-0.1003,17.2628,1.3205,0.0295,gesture_recognition
2569708,0.9343,0.0374,-0.0537,20.0033,-5.6718,5.2356,gesture_recognition
2569728,0.7807,0.0542,0.1307,16.2628,7.1450,3.0295,gesture_recognition
2569748,1.1452,0.0476,-0.3774,11.2475,14.5190,-2.8560,gesture_recognition
2569768,0.9926,0.1394,-0.2907,9.8429,1.1602,0.2585,gesture_recognition
2569788,0.8388,0.0115,0.1517,6.1788,-2.4886,2.4646,gesture_recognition
