timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
1977841,1.0051,0.0000,0.0027,-0.0044,-0.0230,-0.0392,idle
1977861,0.9948,0.0007,0.0066,0.0567,-0.0382,-0.0239,idle
1977881,0.9963,-0.0007,0.0105,0.0262,-0.0306,0.0295,idle
1977901,1.0002,0.0010,-0.0058,-0.0196,0.0686,0.1975,idle
1977921,0.9973,0.0037,0.0022,-0.0349,0.0305,-0.1690,idle
1977941,1.0039,-0.0037,0.0003,0.2017,-0.0535,0.0829,idle
1977961,0.9990,0.0037,-0.0061,0.0796,0.0763,-0.0621,idle
1977981,0.9997,0.0010,-0.0007,0.0338,-0.1069,0.0753,idle
1978001,1.0068,0.0032,-0.0048,0.0872,0.0152,0.0677,idle
1978021,1.0070,0.0012,-0.0002,0.0567,-0.0535,-0.0850,idle
1978041,1.0004,0.0007,-0.0061,-0.1571,0.0839,-0.1079,idle
1978061,0.9997,-0.0049,0.0025,0.0338,-0.0306,-0.0697,idle
1978081,0.9999,0.0037,-0.0031,-0.1723,-0.0077,-0.1155,idle
1978101,0.9970,0.0037,0.0010,0.0720,-0.0535,0.0524,idle
1978121,0.9992,-0.0029,0.0074,0.0949,-0.0153,-0.0774,idle
1978141,0.9980,0.0061,0.0008,0.0567,0.0915,0.0066,idle
1978161,0.9997,-0.0007,-0.0031,0.1636,0.1602,-0.0392,idle
1978181,1.0004,-0.0029,0.0027,-0.1876,-0.0611,0.0219,idle
1978201,0.9999,0.0007,-0.0026,-0.0196,0.0992,0.0371,idle
1978221,0.9980,-0.0068,0.0081,0.1025,-0.1680,0.0677,idle
1978241,0.9997,-0.0019,0.0005,0.0109,-0.0611,0.1975,idle
1978261,0.9960,-0.0059,0.0069,0.0109,0.1526,-0.0697,idle
1978281,1.0041,0.0005,0.0052,0.0643,0.0534,0.1135,idle
1978301,1.0012,0.0056,0.0110,-0.0807,0.0305,0.0066,idle
1978321,0.9992,0.0044,-0.0031,-0.0425,-0.0840,0.1669,idle
1978341,1.0017,-0.0015,-0.0019,0.1025,0.0152,0.0371,idle
1978361,0.9985,-0.0022,-0.0080,0.0338,0.0305,-0.0010,idle
1978381,0.9978,0.0037,-0.0039,0.0338,-0.1298,0.1975,idle
1978401,0.9990,0.0032,0.0025,0.0949,-0.0382,-0.1155,idle
1978421,0.9958,0.0024,-0.0017,-0.0273,-0.0993,-0.0239,idle
1978441,1.0002,-0.0039,0.0049,0.0720,-0.0611,-0.1003,idle
1978461,0.9973,-0.0034,-0.0085,0.0720,0.2442,0.1516,idle
1978481,0.9987,-0.0015,0.0069,-0.1113,-0.0230,0.0448,idle
1978501,0.9938,-0.0017,-0.0024,0.0414,0.0763,0.0600,idle
1978521,0.9990,-0.0041,-0.0039,0.0949,0.0228,-0.1003,idle
1978541,0.9975,-0.0029,-0.0092,0.0872,0.1831,0.0371,idle
1978561,1.0048,0.0012,0.0013,0.1407,-0.1069,0.0600,idle
1978581,1.0007,0.0022,-0.0044,0.1254,0.1373,-0.0392,idle
1978601,1.0009,-0.0024,-0.0092,-0.0731,0.0381,0.0600,idle
1978621,0.9975,-0.0027,-0.0007,-0.0120,-0.1451,0.0219,idle
1978641,0.9999,-0.0037,0.0108,-0.0960,-0.0382,-0.0545,idle
1978661,0.9973,-0.0012,-0.0024,-0.0807,0.0305,-0.0774,idle
1978681,1.0012,-0.0059,0.0071,0.0109,-0.2062,0.0219,idle
1978701,1.0009,-0.0037,-0.0007,0.1254,-0.0764,-0.0774,idle
1978721,0.9982,0.0005,-0.0149,-0.1189,0.0686,0.0371,idle
1978741,0.9990,0.0064,0.0017,-0.0273,0.0381,0.0219,idle
1978761,0.9943,0.0005,0.0000,-0.2105,0.0534,0.0448,idle
1978781,0.9987,0.0012,-0.0004,-0.0196,-0.0535,-0.0850,idle
1978801,0.9975,0.0010,-0.0044,-0.1265,-0.0153,-0.2224,idle
1978821,1.0036,-0.0007,-0.0024,-0.0578,-0.0764,-0.1537,idle
1978841,1.0065,0.0015,0.0042,0.0491,-0.1756,0.0066,idle
1978861,0.9975,-0.0007,-0.0066,0.0567,-0.0688,-0.0239,idle
1978881,1.0021,0.0071,0.0110,-0.0960,0.0152,-0.0621,idle
1978901,1.0056,-0.0007,0.0166,0.1941,0.0152,0.0906,idle
1978921,0.9956,-0.0100,-0.0053,0.0720,-0.0611,-0.1155,idle
1978941,0.9980,-0.0049,-0.0002,0.0414,-0.0382,-0.0697,idle
1978961,1.0002,0.0017,0.0144,0.0033,0.0228,-0.0468,idle
1978981,1.0051,0.0039,-0.0075,-0.1113,0.0457,-0.1461,idle
1979001,0.9987,-0.0010,0.0074,-0.0960,-0.0306,-0.0010,idle
1979021,0.9985,0.0020,0.0042,0.1636,-0.0382,0.0524,idle
1979041,0.9987,-0.0044,-0.0007,-0.1113,0.1450,-0.0926,idle
1979061,0.9941,-0.0041,0.0074,-0.0349,-0.0764,0.0066,idle
1979081,0.9980,-0.0010,-0.0078,-0.0807,-0.0077,0.1287,idle
1979101,1.0039,0.0046,-0.0046,0.1025,-0.0230,0.0448,idle
1979121,0.9943,-0.0022,0.0132,-0.0731,-0.0688,0.0371,idle
1979141,0.9943,-0.0059,-0.0022,0.0872,-0.0459,0.1135,idle
1979161,0.9978,0.0034,-0.0051,0.0414,0.1526,0.0142,idle
1979181,0.9990,-0.0010,0.0079,-0.1036,0.0763,0.0066,idle
1979201,1.0036,-0.0024,0.0066,-0.0731,0.0610,0.0829,idle
1979221,1.0007,-0.0037,-0.0012,-0.0196,-0.0688,0.1058,idle
1979241,1.0012,0.0017,-0.0019,0.0185,0.0992,0.0142,idle
1979261,0.9990,-0.0041,-0.0097,0.0643,0.1755,-0.0010,idle
1979281,1.0021,-0.0032,-0.0048,0.0414,0.0228,0.0906,idle
1979301,1.0034,-0.0022,0.0025,-0.0578,0.0534,0.1669,idle
1979321,1.0102,0.0007,-0.0039,-0.0273,-0.0382,0.0982,idle
1979341,1.0061,-0.0046,0.0110,0.0491,-0.0993,-0.1079,idle
1979361,0.9999,0.0037,-0.0051,0.1101,0.0839,-0.0163,idle
1979381,0.9990,-0.0024,0.0064,-0.0044,0.0152,-0.0850,idle
1979401,0.9997,0.0054,0.0061,-0.0425,0.0381,-0.1003,idle
1979421,0.9970,0.0039,0.0037,-0.0196,-0.0535,-0.0545,idle
1979441,1.0009,-0.0007,-0.0009,0.0185,0.0457,-0.0087,idle
1979461,0.9990,-0.0032,-0.0017,-0.0960,0.1831,-0.0392,idle
1979481,0.9985,0.0034,0.0044,-0.0120,0.0457,0.0142,idle
1979501,1.0002,-0.0019,0.0047,-0.1418,0.0457,-0.0850,idle
1979521,1.0014,0.0056,0.0039,0.1407,0.0610,-0.0621,idle
1979541,0.9995,-0.0056,0.0022,0.0414,0.0534,0.0066,idle
1979561,1.0007,-0.0037,-0.0070,-0.0731,-0.0230,0.0524,idle
1979581,0.9990,0.0015,-0.0004,0.0109,-0.0688,-0.0774,idle
1979601,0.9987,0.0007,-0.0029,-0.1800,-0.0611,-0.0392,idle
1979621,0.9965,0.0054,-0.0026,-0.0273,-0.0001,-0.0545,idle
1979641,0.9995,-0.0002,0.0076,-0.0425,-0.0688,0.1287,idle
1979661,0.9938,0.0020,0.0035,-0.0349,0.1373,0.0906,idle
1979681,1.0039,0.0022,0.0027,0.1101,0.0610,-0.0316,idle
1979701,0.9956,-0.0022,0.0020,-0.0883,-0.0153,-0.0774,idle
1979721,1.0026,-0.0017,0.0025,0.0643,-0.0459,-0.0621,idle
1979741,1.0043,0.0010,-0.0002,0.0567,0.1373,0.0295,idle
1979761,0.9975,-0.0017,0.0037,0.0643,-0.1222,-0.0621,idle
1979781,0.9946,-0.0044,-0.0009,-0.1265,-0.0917,0.0906,idle
1979801,1.0014,0.0017,0.0079,0.0414,0.0457,0.0142,idle
1979821,0.9968,-0.0029,-0.0012,0.0262,-0.0917,-0.0087,idle
1979841,1.0024,0.0049,-0.0075,-0.1036,0.1526,-0.0087,idle
1979861,0.9941,-0.0032,0.0017,0.0796,-0.1527,0.0295,idle
1979881,0.9987,0.0002,-0.0009,0.1178,0.0457,-0.0087,idle
1979901,1.0007,0.0034,-0.0007,0.0796,0.1068,0.0371,idle
1979921,0.9985,0.0012,0.0039,0.0567,0.0915,-0.0239,idle
1979941,0.9960,0.0022,0.0042,-0.2105,0.0305,0.0066,idle
1979961,0.9975,0.0020,-0.0022,-0.0349,0.0534,-0.0239,idle
1979981,0.9992,0.0007,0.0083,-0.0196,-0.1069,-0.0850,idle
1980001,0.9985,-0.0010,-0.0068,-0.0044,0.0534,-0.0545,idle
1980021,0.9970,0.0017,-0.0014,0.0567,-0.0306,-0.0545,idle
1980041,0.9990,-0.0007,0.0047,-0.1113,-0.0306,-0.0774,idle
1980061,0.9985,-0.0019,0.0035,-0.0120,-0.0459,-0.0697,idle
1980081,0.9980,-0.0041,0.0003,-0.0502,0.1144,-0.0545,idle
1980101,1.0014,-0.0068,0.0010,0.0033,-0.1375,-0.0850,idle
1980121,0.9990,0.0027,-0.0034,0.0262,0.0992,0.0295,idle
1980141,1.0039,-0.0012,0.0057,-0.0502,-0.0688,0.0219,idle
1980161,0.9934,0.0042,0.0010,-0.1418,-0.0077,0.0295,idle
1980181,0.9953,0.0005,-0.0022,-0.0960,0.0228,-0.0850,idle
1980201,1.0007,0.0044,0.0022,-0.0502,0.0763,-0.1537,idle
1980221,0.9982,-0.0005,0.0005,-0.1723,0.0534,-0.0468,idle
1980241,0.9985,0.0051,0.0079,-0.0578,0.1373,-0.1079,idle
1980261,1.0068,0.0017,0.0013,0.0491,0.0686,-0.1613,idle
1980281,1.0051,-0.0032,0.0010,-0.0502,-0.1375,0.0677,idle
1980301,1.0021,0.0002,0.0013,-0.0349,-0.0153,-0.1232,idle
1980321,1.0009,0.0002,-0.0022,-0.0273,0.0763,0.0142,idle
1980341,1.0007,-0.0017,0.0013,0.0491,0.0763,-0.1842,idle
1980361,1.0004,0.0042,0.0020,0.0491,0.0152,-0.0545,idle
1980381,1.0019,-0.0007,0.0015,0.0109,0.0992,0.0142,idle
1980401,0.9982,0.0010,0.0052,-0.2029,-0.0001,-0.0010,idle
