timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2207908,0.9829,0.0024,-0.0971,-0.0273,3.8320,0.6784,left_tilt
2207928,0.9645,0.0354,-0.0703,-0.4471,8.9999,-2.9858,left_tilt
2207948,0.9846,0.0110,-0.1123,1.3391,7.4961,1.7852,left_tilt
2207968,0.9770,0.0005,-0.1030,0.0720,0.7022,-1.8484,left_tilt
2207988,0.9550,0.0178,-0.1242,0.3544,5.8625,-0.1308,left_tilt
2208008,0.9829,0.0098,-0.0981,1.9575,5.1297,1.6097,left_tilt
2208028,0.9772,0.0093,-0.0952,1.4842,1.1755,-2.2377,left_tilt
2208048,0.9165,0.0105,-0.1191,-1.5693,4.6335,-1.5354,left_tilt
2208068,0.8908,0.0164,-0.0310,-3.5006,10.2213,-0.1613,left_tilt
2208088,0.9851,-0.0095,-0.1308,-3.2334,7.2976,-0.0926,left_tilt
2208108,0.9296,0.0220,-0.0676,-4.2868,5.7480,0.0982,left_tilt
2208128,0.9799,0.0120,-0.0649,-3.9051,7.4427,0.0448,left_tilt
2208148,0.9855,0.0059,-0.0669,-0.4853,3.9312,-0.2224,left_tilt
2208168,0.9880,-0.0041,-0.1079,0.9575,3.1908,0.1745,left_tilt
2208188,0.9677,-0.0117,-0.0759,2.5987,2.3358,-0.5430,left_tilt
2208208,1.0085,0.0557,-0.0693,2.0109,0.2518,-0.9476,left_tilt
2208228,0.9943,0.0173,-0.0896,-0.0960,-0.0917,-0.8331,left_tilt
2208248,1.0039,0.0088,-0.0805,-1.0196,0.9618,0.1975,left_tilt
2208268,0.9787,0.0217,-0.0888,-0.6761,0.5954,-0.6117,left_tilt
2208288,0.9924,0.0117,-0.0891,-0.6227,0.8473,-0.6651,left_tilt
2208308,0.9926,0.0090,-0.0820,-0.0960,1.6641,0.3272,left_tilt
2208328,0.9782,-0.0107,-0.0991,0.4994,0.1297,-0.2911,left_tilt
2208348,0.9606,0.0317,-0.0661,0.3773,0.4885,-0.5430,left_tilt
2208368,0.9946,0.0115,-0.0827,1.2246,0.9160,-0.2835,left_tilt
2208388,0.9743,0.0173,-0.0546,1.3849,1.2595,-0.3445,left_tilt
2208408,0.9841,0.0366,-0.0708,0.7284,0.1984,-0.3445,left_tilt
2208428,0.9877,0.0088,-0.1030,0.8277,0.6106,-0.4361,left_tilt
2208448,0.9770,0.0332,-0.0693,0.4765,0.5419,-0.2148,left_tilt
2208468,0.9831,0.0095,-0.0864,-0.1265,2.3511,0.0524,left_tilt
2208488,0.9914,0.0230,-0.0739,-0.2639,1.6564,-0.1079,left_tilt
2208508,0.9860,0.0166,-0.0822,-0.9891,0.2976,-0.1155,left_tilt
2208528,0.9897,0.0081,-0.0749,-2.5235,3.6183,0.3501,left_tilt
2208548,0.9389,0.0110,-0.0869,-2.3250,3.3969,0.2967,left_tilt
2208568,0.9777,0.0169,-0.0815,-1.5540,-0.1756,-0.1155,left_tilt
2208588,0.9936,0.0320,-0.0712,0.0643,0.7557,0.0753,left_tilt
2208608,0.9824,0.0210,-0.0808,0.3315,0.8549,0.1058,left_tilt
2208628,0.9904,0.0169,-0.0703,2.1330,1.2595,-0.3751,left_tilt
2208648,0.9838,0.0205,-0.0776,1.5758,1.3587,-0.3903,left_tilt
2208668,0.9821,0.0181,-0.0835,0.0033,-0.0382,-0.2987,left_tilt
2208688,0.9948,0.0115,-0.0752,-0.0960,-2.0764,-0.0621,left_tilt
2208708,0.9924,0.0166,-0.0781,-0.0196,-1.3359,0.1287,left_tilt
2208728,0.9841,0.0149,-0.0764,-0.1723,-1.4886,0.0142,left_tilt
2208748,0.9973,0.0171,-0.0756,-0.7067,-1.7405,0.2433,left_tilt
2208768,0.9868,0.0068,-0.0774,-1.0425,-4.0077,0.3272,left_tilt
2208788,0.9812,0.0252,-0.0959,-0.4166,-7.9161,0.0753,left_tilt
2208808,0.9946,0.0376,-0.0678,1.5223,-15.5115,-0.3674,left_tilt
2208828,0.9843,0.0169,-0.0800,0.2475,-18.0153,0.2814,left_tilt
2208848,0.9953,-0.0039,-0.0849,-0.1342,-19.1985,0.2662,left_tilt
2208868,0.9689,-0.0225,-0.1418,-2.2792,-13.0077,0.8616,left_tilt
2208888,0.9912,0.0259,-0.0949,-3.0273,-11.7482,1.2509,left_tilt
2208908,0.9904,0.0391,-0.0788,-2.4090,-16.5802,1.1058,left_tilt
2208928,1.0134,0.0181,-0.0908,0.4536,-28.4504,0.1822,left_tilt
2208948,0.9768,0.0173,-0.1269,0.1025,-27.6107,0.7089,left_tilt
2208968,0.9680,0.0154,-0.1357,0.0720,-29.5497,0.6936,left_tilt
2208988,0.9736,0.0134,-0.1357,0.2246,-30.5955,0.7776,left_tilt
2209008,0.9875,0.0203,-0.1357,0.7132,-36.2443,1.1822,left_tilt
2209028,0.9931,0.0298,-0.1320,3.6216,-53.9161,0.5104,left_tilt
2209048,0.9572,0.0015,-0.2065,4.0262,-68.2520,-0.0316,left_tilt
2209068,0.9335,0.0127,-0.2453,0.2857,-56.8779,1.7471,left_tilt
2209088,0.9335,0.0164,-0.2309,-1.4471,-53.6565,2.4646,left_tilt
2209108,0.9489,0.0149,-0.2456,-1.8135,-57.6871,2.4265,left_tilt
2209128,0.9335,0.0076,-0.2414,-1.5616,-64.3359,2.9837,left_tilt
2209148,0.9086,0.0210,-0.2924,-2.1189,-67.7176,3.2814,left_tilt
2209168,0.8906,0.0220,-0.3232,-4.0120,-64.3512,3.9913,left_tilt
2209188,0.8979,0.0078,-0.3549,-6.1952,-56.6031,5.0600,left_tilt
2209208,0.8886,0.0142,-0.3396,-6.0731,-58.6184,5.0142,left_tilt
2209228,0.8947,0.0076,-0.3535,-5.6074,-66.3054,5.0066,left_tilt
2209248,0.8730,0.0083,-0.4091,-6.8517,-68.8016,5.9379,left_tilt
2209268,0.8618,0.0122,-0.4162,-7.3326,-64.7940,6.4265,left_tilt
2209288,0.8515,0.0054,-0.4353,-5.7906,-65.9924,5.7623,left_tilt
2209308,0.8239,0.0120,-0.4638,-5.0578,-65.1069,5.2356,left_tilt
2209328,0.8103,0.0237,-0.4716,-5.9280,-61.3665,6.5181,left_tilt
2209348,0.7958,0.0093,-0.4502,-6.0578,-63.4962,6.6478,left_tilt
