timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2252731,0.5476,0.0469,0.9056,2.7742,-108.7710,6.9074,right_tilt
2252771,0.6311,0.0435,0.8843,1.4918,-89.9848,3.5181,right_tilt
2252791,0.6215,0.0403,0.9266,1.7284,-92.2062,4.4799,right_tilt
2252811,0.7453,0.0540,0.8140,1.5834,-84.8932,3.9761,right_tilt
2252831,0.7238,0.0308,0.8277,2.4460,-80.9772,4.7929,right_tilt
2252851,0.7841,0.0476,0.7832,1.5147,-73.4733,3.3959,right_tilt
2252871,0.7429,0.0559,0.7801,0.1254,-70.2978,2.0219,right_tilt
2252891,0.7145,0.0496,0.7647,0.3773,-72.3741,2.2204,right_tilt
2252911,0.7336,0.0303,0.7342,0.9804,-75.6031,2.8463,right_tilt
2252931,0.7905,0.0293,0.7088,2.7971,-80.0001,5.0371,right_tilt
2252951,0.7910,0.0476,0.7127,2.3010,-75.2520,3.7242,right_tilt
2252971,0.7941,0.0474,0.6853,2.9956,-78.8016,4.2051,right_tilt
2252991,0.8823,0.0461,0.6343,1.6445,-78.1833,3.1058,right_tilt
2253011,0.8757,0.0344,0.6258,1.9575,-76.1222,2.8997,right_tilt
2253031,0.8000,0.0161,0.6136,6.2704,-80.7787,5.7165,right_tilt
2253051,0.8554,0.0564,0.6150,4.4307,-84.3359,4.1669,right_tilt
2253071,0.9184,0.0386,0.5647,4.6979,-84.0688,4.3578,right_tilt
2253091,1.0085,0.0667,0.4781,4.9269,-75.7176,3.6097,right_tilt
2253111,0.9272,0.0193,0.5091,3.5452,-69.0230,3.3578,right_tilt
2253131,1.0141,0.0964,0.4297,5.0033,-71.0001,5.3043,right_tilt
2253151,0.8923,0.0452,0.4942,3.4231,-70.6565,4.3501,right_tilt
2253171,0.9577,0.0400,0.4505,0.4613,-65.3130,3.7547,right_tilt
2253191,0.9916,0.0483,0.4092,0.4384,-58.1451,2.3883,right_tilt
2253211,0.9531,0.0354,0.3987,0.9727,-55.8550,2.8234,right_tilt
2253231,1.0239,0.0393,0.3794,0.2323,-52.8169,2.1974,right_tilt
2253251,1.0209,0.0396,0.3465,-0.0349,-47.2443,2.0677,right_tilt
2253271,0.9843,0.0398,0.3533,0.1559,-44.3588,1.9684,right_tilt
2253291,0.9531,0.0293,0.3316,1.1407,-47.3970,2.5868,right_tilt
2253311,0.8586,0.0493,0.4302,2.4842,-45.4886,2.5791,right_tilt
