timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2161584,0.7145,0.0100,0.2312,-110.3097,-8.0688,-79.6728,shake
2161604,0.3085,0.0513,1.5252,-76.0273,2.4885,-48.5201,shake
2161624,0.2702,0.1252,2.0320,0.4994,67.6412,6.8463,shake
2161644,0.5400,0.1091,1.5086,65.7055,15.8167,43.6402,shake
2161664,0.7429,0.0435,0.7810,104.2857,0.4656,55.7547,shake
2161684,1.0766,-0.0032,-0.3820,111.0872,-1.4504,64.5410,shake
2161704,1.3454,-0.1016,-1.0986,81.6674,-48.7863,58.8463,shake
2161724,1.6281,-0.0273,-1.9123,22.8735,6.9312,28.2814,shake
2161744,1.6823,0.0054,-1.8256,-50.9891,-25.4504,-20.4819,shake
2161764,1.4792,0.0049,-1.0437,-95.9357,-39.5344,-59.6804,shake
2161784,1.1362,-0.0322,-0.1218,-115.8593,-4.6718,-83.2911,shake
2161804,0.4130,-0.0186,1.1111,-99.0425,28.5496,-69.1079,shake
2161824,0.0380,0.1272,1.8328,-34.7754,39.2900,-13.9858,shake
2161844,0.4392,0.1179,1.7586,37.5147,-10.2062,37.8234,shake
2161864,0.8364,0.0977,1.1971,85.1941,-1.6795,41.7471,shake
2161884,0.8229,0.0640,0.1289,108.1178,13.3893,50.5410,shake
2161904,1.1071,-0.0041,-0.8447,93.7666,8.4198,58.3272,shake
2161924,0.9697,0.0444,-0.6206,53.6292,-0.8092,43.1975,shake
2161944,1.6694,-0.0271,-1.9123,-9.5540,-15.6795,14.2127,shake
2161964,1.6435,0.0078,-1.5080,-69.3937,-19.9161,-32.8025,shake
2161984,1.3098,-0.0225,-0.7487,-104.4013,-13.7405,-66.4285,shake
2162004,0.7998,-0.0510,0.3047,-114.2563,0.6335,-74.9629,shake
2162024,0.3564,0.0588,1.6048,-77.5235,6.9923,-41.2987,shake
2162044,0.3747,0.1243,2.0420,-0.7372,19.6106,7.1669,shake
2162064,0.6904,0.1345,1.4851,61.3468,2.7099,28.8921,shake
2162084,0.7004,0.0842,0.7061,99.6903,7.5496,40.8310,shake
2162104,0.8574,0.0059,-0.3286,104.4994,4.7557,57.8310,shake
2162124,1.2116,-0.0310,-1.1823,81.5605,-33.0917,61.3730,shake
2162144,1.6767,-0.0344,-1.9123,20.3086,-2.1222,32.6020,shake
2162164,1.7099,0.0078,-1.7353,-55.4166,-19.5649,-26.4209,shake
2162184,1.3659,-0.0308,-0.8296,-96.7143,-35.4275,-63.6041,shake
2162204,1.0493,-0.0303,0.1477,-108.3250,-18.9848,-82.4667,shake
2162224,0.5134,0.0015,1.2405,-84.9662,20.8244,-67.8026,shake
2162244,0.1347,0.1101,1.8150,-17.8975,23.8473,-14.5201,shake
